entry_utc,event_slug,city,target_date,lead_days,side,bucket,ask,shares,stake,fee,model_median_c,pm_top_bucket,status,payout,pnl,settle_utc,nhom
2026-07-16T07:56:34Z,highest-temperature-in-qingdao-on-july-18-2026,qingdao,2026-07-18,2,NO,30°C,0.74,13.51,10.0,0.13,30.3,29°C,open,,,,goc
2026-07-16T07:56:34Z,highest-temperature-in-shanghai-on-july-17-2026,shanghai,2026-07-17,1,NO,37°C,0.72,13.89,10.0,0.14,37.1,38°C,open,,,,goc
2026-07-16T07:56:34Z,highest-temperature-in-manila-on-july-17-2026,manila,2026-07-17,1,NO,32°C,0.72,13.89,10.0,0.14,31.5,33°C,open,,,,goc
2026-07-16T07:56:34Z,highest-temperature-in-dallas-on-july-17-2026,dallas,2026-07-17,1,NO,94-95°F,0.73,13.7,10.0,0.135,34.2,92-93°F,open,,,,goc
2026-07-16T07:56:34Z,highest-temperature-in-austin-on-july-17-2026,austin,2026-07-17,1,NO,92-93°F,0.71,14.08,10.0,0.145,33.9,90-91°F,open,,,,goc
2026-07-16T07:56:34Z,highest-temperature-in-milan-on-july-18-2026,milan,2026-07-18,2,NO,34°C,0.74,13.51,10.0,0.13,33.5,33°C,open,,,,goc
2026-07-16T09:44:29Z,highest-temperature-in-paris-on-july-18-2026,paris,2026-07-18,2,NO,29°C,0.73,13.7,10.0,0.135,28.8,28°C,open,,,,mo_rong
2026-07-16T09:44:29Z,highest-temperature-in-munich-on-july-17-2026,munich,2026-07-17,1,NO,28°C,0.688,14.53,10.0,0.1559,27.9,27°C,open,,,,mo_rong
2026-07-16T09:44:29Z,highest-temperature-in-karachi-on-july-18-2026,karachi,2026-07-18,2,NO,32°C,0.69,14.49,10.0,0.155,31.8,33°C,open,,,,mo_rong
2026-07-16T09:44:29Z,highest-temperature-in-wuhan-on-july-17-2026,wuhan,2026-07-17,1,NO,36°C,0.66,15.15,10.0,0.17,35.8,37°C,open,,,,mo_rong
2026-07-16T09:44:29Z,highest-temperature-in-jeddah-on-july-17-2026,jeddah,2026-07-17,1,NO,37°C,0.66,15.15,10.0,0.17,37.4,38°C,open,,,,mo_rong
2026-07-16T09:44:29Z,highest-temperature-in-denver-on-july-17-2026,denver,2026-07-17,1,NO,94-95°F,0.65,15.38,10.0,0.1749,34.7,92-93°F,open,,,,mo_rong
2026-07-16T09:44:29Z,highest-temperature-in-miami-on-july-17-2026,miami,2026-07-17,1,NO,92-93°F,0.67,14.93,10.0,0.1651,33.4,94-95°F,open,,,,mo_rong
2026-07-17T07:42:56Z,highest-temperature-in-shenzhen-on-july-18-2026,shenzhen,2026-07-18,1,NO,32°C,0.74,13.51,10.0,0.13,31.8,31°C,open,,,,goc
2026-07-17T07:42:56Z,highest-temperature-in-chicago-on-july-18-2026,chicago,2026-07-18,1,NO,90-91°F,0.72,13.89,10.0,0.14,32.6,88-89°F,open,,,,goc
2026-07-17T07:42:56Z,highest-temperature-in-tokyo-on-july-18-2026,tokyo,2026-07-18,1,NO,31°C,0.72,13.89,10.0,0.14,30.9,30°C,open,,,,goc
2026-07-17T07:42:56Z,highest-temperature-in-austin-on-july-18-2026,austin,2026-07-18,1,NO,94-95°F,0.71,14.08,10.0,0.145,34.7,92-93°F,open,,,,goc
2026-07-17T07:42:56Z,highest-temperature-in-los-angeles-on-july-18-2026,los-angeles,2026-07-18,1,NO,78-79°F,0.7,14.29,10.0,0.15,26.0,76-77°F,open,,,,mo_rong
2026-07-17T07:42:56Z,highest-temperature-in-moscow-on-july-18-2026,moscow,2026-07-18,1,NO,25°C,0.7,14.29,10.0,0.15,24.7,26°C,open,,,,mo_rong
2026-07-17T07:42:56Z,highest-temperature-in-milan-on-july-19-2026,milan,2026-07-19,2,NO,32°C,0.69,14.49,10.0,0.155,32.1,31°C,open,,,,mo_rong
2026-07-17T07:42:56Z,highest-temperature-in-london-on-july-19-2026,london,2026-07-19,2,NO,24°C,0.69,14.49,10.0,0.155,23.5,23°C,open,,,,mo_rong
2026-07-17T07:42:56Z,highest-temperature-in-busan-on-july-18-2026,busan,2026-07-18,1,NO,30°C,0.68,14.71,10.0,0.16,30.5,31°C,open,,,,mo_rong
2026-07-17T07:42:56Z,highest-temperature-in-tokyo-on-july-19-2026,tokyo,2026-07-19,2,NO,31°C,0.68,14.71,10.0,0.16,31.1,32°C,open,,,,mo_rong
2026-07-17T09:19:37Z,highest-temperature-in-wellington-on-july-19-2026,wellington,2026-07-19,2,NO,13°C,0.67,14.93,10.0,0.1651,13.2,14°C,open,,,,mo_rong
