entry_utc,event_slug,market_slug,city,target_date,side,bucket,tier,price,shares,stake,fee,trigger_ask,peak_ask,potential_profit,status,payout,pnl,settle_utc
2026-07-18T17:17:33Z,highest-temperature-in-toronto-on-july-18-2026,highest-temperature-in-toronto-on-july-18-2026-25c,toronto,2026-07-18,NO,25°C,A-mat-moc-70,0.599,16.69,10.0,0.2004,0.577,0.757,6.49,open,,,
2026-07-18T17:22:18Z,highest-temperature-in-chicago-on-july-18-2026,highest-temperature-in-chicago-on-july-18-2026-86-87f,chicago,2026-07-18,NO,86-87°F,C-duoi-32,0.82,12.2,10.0,0.09,0.19,0.48,2.11,open,,,
2026-07-18T17:38:01Z,highest-temperature-in-toronto-on-july-18-2026,highest-temperature-in-toronto-on-july-18-2026-25c,toronto,2026-07-18,NO,25°C,A-mat-moc-50,0.842,11.88,10.0,0.079,0.4,0.757,1.8,open,,,
2026-07-18T17:38:01Z,highest-temperature-in-chicago-on-july-18-2026,highest-temperature-in-chicago-on-july-18-2026-88-89f,chicago,2026-07-18,NO,88-89°F,B-duoi-35,0.92,10.87,10.0,0.04,0.23,0.5,0.83,open,,,
2026-07-18T17:38:01Z,highest-temperature-in-sao-paulo-on-july-18-2026,highest-temperature-in-sao-paulo-on-july-18-2026-25c,sao-paulo,2026-07-18,NO,25°C,C-duoi-32,0.95,10.53,10.0,0.025,0.06,0.4,0.5,open,,,
2026-07-18T18:02:07Z,highest-temperature-in-toronto-on-july-18-2026,highest-temperature-in-toronto-on-july-18-2026-26c,toronto,2026-07-18,NO,26°C,B-duoi-35,0.8,12.5,10.0,0.1,0.239,0.548,2.4,open,,,
2026-07-18T18:07:18Z,highest-temperature-in-miami-on-july-18-2026,highest-temperature-in-miami-on-july-18-2026-90-91f,miami,2026-07-18,NO,90-91°F,B-duoi-35,0.8,12.5,10.0,0.1,0.28,0.66,2.4,open,,,
2026-07-18T18:12:29Z,highest-temperature-in-atlanta-on-july-18-2026,highest-temperature-in-atlanta-on-july-18-2026-90-91f,atlanta,2026-07-18,NO,90-91°F,B-duoi-35,0.96,10.42,10.0,0.02,0.19,0.51,0.4,open,,,
2026-07-18T18:17:45Z,highest-temperature-in-panama-city-on-july-18-2026,highest-temperature-in-panama-city-on-july-18-2026-34c,panama-city,2026-07-18,NO,34°C,A-mat-moc-50,0.92,10.87,10.0,0.04,0.11,0.76,0.83,open,,,
2026-07-18T18:17:45Z,highest-temperature-in-panama-city-on-july-18-2026,highest-temperature-in-panama-city-on-july-18-2026-34c,panama-city,2026-07-18,NO,34°C,A-mat-moc-70,0.92,10.87,10.0,0.04,0.11,0.76,0.83,open,,,
