entry_utc,event_slug,market_slug,city,target_date,side,bucket,tier,price,shares,stake,fee,trigger_ask,peak_ask,potential_profit,status,payout,pnl,settle_utc
2026-07-19T10:26:09Z,highest-temperature-in-tel-aviv-on-july-19-2026,highest-temperature-in-tel-aviv-on-july-19-2026-34c,tel-aviv,2026-07-19,NO,34°C,10-19c,0.953,10.49,10.0,0.0235,0.164,0.508,0.47,lost,0.0,-10.02,2026-07-20T06:38:01Z
2026-07-19T10:31:05Z,highest-temperature-in-tel-aviv-on-july-19-2026,highest-temperature-in-tel-aviv-on-july-19-2026-34c,tel-aviv,2026-07-19,YES,34°C,dao-chieu,0.496,60.48,30.0,0.756,0.496,0.164,29.72,won,60.48,29.72,2026-07-20T06:38:01Z
2026-07-19T11:12:16Z,highest-temperature-in-munich-on-july-19-2026,highest-temperature-in-munich-on-july-19-2026-21c,munich,2026-07-19,NO,21°C,20-29c,0.8,12.5,10.0,0.1,0.27,0.49,2.4,won,12.5,2.4,2026-07-20T06:38:01Z
2026-07-19T12:44:08Z,highest-temperature-in-munich-on-july-19-2026,highest-temperature-in-munich-on-july-19-2026-21c,munich,2026-07-19,NO,21°C,10-19c,0.84,11.9,10.0,0.08,0.19,0.49,1.82,won,11.9,1.82,2026-07-20T06:38:01Z
2026-07-19T12:54:40Z,highest-temperature-in-warsaw-on-july-19-2026,highest-temperature-in-warsaw-on-july-19-2026-26c,warsaw,2026-07-19,NO,26°C,20-29c,0.9,11.11,10.0,0.05,0.24,0.46,1.06,won,11.11,1.06,2026-07-20T06:38:01Z
2026-07-19T13:04:42Z,highest-temperature-in-warsaw-on-july-19-2026,highest-temperature-in-warsaw-on-july-19-2026-26c,warsaw,2026-07-19,YES,26°C,dao-chieu,0.71,42.25,30.0,0.435,0.71,0.24,11.81,lost,0.0,-30.43,2026-07-20T06:38:01Z
2026-07-19T13:04:42Z,highest-temperature-in-london-on-july-19-2026,highest-temperature-in-london-on-july-19-2026-21c,london,2026-07-19,NO,21°C,20-29c,0.835,11.98,10.0,0.0825,0.205,0.559,1.9,lost,0.0,-10.08,2026-07-20T06:38:01Z
2026-07-19T13:04:42Z,highest-temperature-in-cape-town-on-july-19-2026,highest-temperature-in-cape-town-on-july-19-2026-15c,cape-town,2026-07-19,NO,15°C,20-29c,0.83,12.05,10.0,0.085,0.24,0.46,1.97,won,12.05,1.97,2026-07-20T06:38:01Z
2026-07-19T13:10:00Z,highest-temperature-in-london-on-july-19-2026,highest-temperature-in-london-on-july-19-2026-21c,london,2026-07-19,NO,21°C,10-19c,0.82,12.2,10.0,0.09,0.192,0.559,2.11,lost,0.0,-10.09,2026-07-20T06:38:01Z
2026-07-19T13:10:00Z,highest-temperature-in-cape-town-on-july-19-2026,highest-temperature-in-cape-town-on-july-19-2026-15c,cape-town,2026-07-19,NO,15°C,10-19c,0.96,10.42,10.0,0.02,0.12,0.46,0.4,won,10.42,0.4,2026-07-20T06:38:01Z
2026-07-19T13:15:15Z,highest-temperature-in-ankara-on-july-19-2026,highest-temperature-in-ankara-on-july-19-2026-31c,ankara,2026-07-19,NO,31°C,20-29c,0.848,11.79,10.0,0.076,0.298,0.408,1.71,won,11.79,1.71,2026-07-20T06:38:01Z
2026-07-19T13:35:50Z,highest-temperature-in-warsaw-on-july-19-2026,highest-temperature-in-warsaw-on-july-19-2026-27c,warsaw,2026-07-19,NO,27°C,20-29c,0.91,10.99,10.0,0.045,0.2,0.69,0.95,lost,0.0,-10.04,2026-07-20T06:38:01Z
2026-07-19T13:40:42Z,highest-temperature-in-warsaw-on-july-19-2026,highest-temperature-in-warsaw-on-july-19-2026-27c,warsaw,2026-07-19,NO,27°C,10-19c,0.89,11.24,10.0,0.055,0.19,0.69,1.19,lost,0.0,-10.05,2026-07-20T06:38:01Z
2026-07-19T13:45:43Z,highest-temperature-in-munich-on-july-19-2026,highest-temperature-in-munich-on-july-19-2026-21c,munich,2026-07-19,YES,21°C,dao-chieu,0.45,66.67,30.0,0.825,0.45,0.27,35.84,lost,0.0,-30.82,2026-07-20T06:38:01Z
2026-07-19T13:55:59Z,highest-temperature-in-london-on-july-19-2026,highest-temperature-in-london-on-july-19-2026-21c,london,2026-07-19,YES,21°C,dao-chieu,0.397,75.57,30.0,0.9045,0.397,0.205,44.67,won,75.57,44.67,2026-07-20T06:38:01Z
2026-07-19T14:06:26Z,highest-temperature-in-miami-on-july-19-2026,highest-temperature-in-miami-on-july-19-2026-90-91f,miami,2026-07-19,NO,90-91°F,20-29c,0.75,13.33,10.0,0.125,0.26,0.4,3.21,lost,0.0,-10.12,2026-07-20T06:38:01Z
2026-07-19T14:36:56Z,highest-temperature-in-warsaw-on-july-19-2026,highest-temperature-in-warsaw-on-july-19-2026-27c,warsaw,2026-07-19,YES,27°C,dao-chieu,0.96,31.25,30.0,0.06,0.96,0.2,1.19,won,31.25,1.19,2026-07-20T06:38:01Z
