scan_utc,kind,event_slug,detail,edge,sum_ask,sum_bid,market_prob,model_prob,volume24hr,liquidity,note
2026-07-09T04:41:05Z,negrisk_buy_all,highest-temperature-in-wellington-on-july-10-2026,"11 o, mua het = 0.960, tra ve 1.000",0.04,0.96,0.896,,,20271.903384999998,97555.53206,kiem tra do sau so lenh truoc khi vao; phi lam giam lai
2026-07-09T16:10:46Z,crypto_eth,ethereum-above-1700-on-july-12-2026,"ETH > $1,700 luc 2026-07-12T16:00:00Z; spot $1,738, DVOL 52%; mua NO @0.230; RONG +0.086 sau phi",0.0862,,,0.78,0.6714,95.987462,17034.6896,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-09T16:10:46Z,negrisk_buy_all,highest-temperature-in-seattle-on-july-10-2026,11 o | tong mua 0.931 + phi 0.037 = 0.968 | nhan 1.000 | RONG +0.032,0.032,0.931,0.847,,,10011.522047,55948.33752,da tru phi taker; kiem tra do sau so lenh + gia con hieu luc
2026-07-10T07:00:44Z,negrisk_buy_all,clacton-by-election-nigel-farage-vote-20260708151424120,6 o | tong mua 0.864 + phi 0.027 = 0.891 | nhan 1.000 | RONG +0.109,0.109,0.864,0.791,,,6088.471852999999,111956.79123,da tru phi taker; kiem tra do sau so lenh + gia con hieu luc
2026-07-10T07:00:44Z,crypto_btc,bitcoin-above-62k-on-july-12-2026,"BTC > $62,000 luc 2026-07-12T16:00:00Z; spot $63,776, DVOL 37%; mua NO @0.090; RONG +0.081 sau phi",0.081,,,0.92,0.8233,8445.06131,20641.8524,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T07:00:44Z,crypto_eth,ethereum-above-1700-on-july-12-2026,"ETH > $1,700 luc 2026-07-12T16:00:00Z; spot $1,768, DVOL 51%; mua NO @0.100; RONG +0.069 sau phi",0.0692,,,0.91,0.8245,1042.590475,19230.7694,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T07:00:44Z,crypto_btc,bitcoin-above-62k-on-july-13-2026,"BTC > $62,000 luc 2026-07-13T16:00:00Z; spot $63,776, DVOL 37%; mua NO @0.150; RONG +0.061 sau phi",0.0608,,,0.855,0.7803,5996.507277999999,23873.246,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T07:00:44Z,crypto_btc,bitcoin-above-66k-on-july-12-2026,"BTC > $66,000 luc 2026-07-12T16:00:00Z; spot $63,776, DVOL 37%; mua YES @0.062; RONG +0.057 sau phi",0.0571,,,0.056,0.1232,7889.751945,21751.41065,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T07:00:44Z,crypto_btc,bitcoin-above-62k-on-july-11-2026,"BTC > $62,000 luc 2026-07-11T16:00:00Z; spot $63,776, DVOL 37%; mua NO @0.050; RONG +0.056 sau phi",0.0564,,,0.954,0.8903,20218.981453,26946.54549,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
2026-07-10T07:00:44Z,crypto_eth,ethereum-above-1700-on-july-11-2026,"ETH > $1,700 luc 2026-07-11T16:00:00Z; spot $1,768, DVOL 51%; mua NO @0.050; RONG +0.055 sau phi",0.0547,,,0.955,0.892,1619.102785,17086.961,mo hinh bo qua skew - tu tham dinh truoc khi vao lenh
