entry_utc,event_slug,city,target_date,n_buckets_theoretical,sum_ask_theoretical,shares_theoretical,sum_ask_actual,shares_filled,cost_actual,fee_est,locked_profit_actual,status,order_ids,note
2026-07-29T08:34:49Z,highest-temperature-in-wellington-on-july-29-2026,wellington,2026-07-29,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o mong nhat chi kha dung 0.00/5.21 co phan) -> BO QUA
2026-07-29T14:47:27Z,highest-temperature-in-toronto-on-july-29-2026,toronto,2026-07-29,11,0.932,5.36,,,,,,skipped,,do sau THAT khong du (o mong nhat chi kha dung 0.00/5.36 co phan) -> BO QUA
2026-07-29T15:02:38Z,highest-temperature-in-milan-on-july-29-2026,milan,2026-07-29,11,0.955,5.24,,,,,,skipped,,do sau THAT khong du (o mong nhat chi kha dung 0.00/5.24 co phan) -> BO QUA
2026-07-29T15:02:38Z,highest-temperature-in-moscow-on-july-29-2026,moscow,2026-07-29,11,0.991,5.05,,,,,,skipped,,do sau THAT khong du (o mong nhat chi kha dung 0.00/5.05 co phan) -> BO QUA
2026-07-29T16:33:16Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '92-93°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.610 > gia toi da chap nhan 0.571 (Gamma bao gia 0.560 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:48:15Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '90-91°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.210 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:48:51Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '90-91°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.200 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:49:20Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '90-91°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.210 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:49:55Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '90-91°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.180 > gia toi da chap nhan 0.153 (Gamma bao gia 0.150 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:50:25Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '92-93°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.540 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:51:00Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '92-93°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.600 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:51:29Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '92-93°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.600 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:52:04Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '92-93°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.600 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T16:52:32Z,highest-temperature-in-miami-on-july-29-2026,miami,2026-07-29,11,0.956,5.23,,,,,,skipped,,do sau THAT khong du (o '92-93°F' chi kha dung 0.00/5.23 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.600 > gia toi da chap nhan 0.530 (Gamma bao gia 0.520 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T18:04:33Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:05:02Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:05:38Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:06:07Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:06:43Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:07:12Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:07:47Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:08:15Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:08:51Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:09:19Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:09:54Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:10:22Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:10:57Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:11:25Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '21°C' chi kha dung 0.63/5.21 co phan) -- ly do: khong ro (xem debug) -> BO QUA
2026-07-29T18:12:01Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '20°C' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.210 > gia toi da chap nhan 0.194 (Gamma bao gia 0.190 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T18:12:30Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '20°C' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.210 > gia toi da chap nhan 0.194 (Gamma bao gia 0.190 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T18:13:06Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '20°C' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.210 > gia toi da chap nhan 0.194 (Gamma bao gia 0.190 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T18:13:34Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '20°C' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.210 > gia toi da chap nhan 0.194 (Gamma bao gia 0.190 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T18:14:09Z,lowest-temperature-in-london-on-july-30-2026,london,2026-07-30,11,0.959,5.21,,,,,,skipped,,do sau THAT khong du (o '20°C' chi kha dung 0.00/5.21 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.210 > gia toi da chap nhan 0.194 (Gamma bao gia 0.190 nhung so lenh that dang ban dat hon) -> BO QUA
2026-07-29T19:44:08Z,highest-temperature-in-houston-on-july-29-2026,houston,2026-07-29,11,0.969,5.16,,,,,,skipped,,do sau THAT khong du (o '94-95°F' chi kha dung 0.00/5.16 co phan) -- ly do: co lenh ban that nhung gia thap nhat 0.170 > gia toi da chap nhan 0.133 (Gamma bao gia 0.130 nhung so lenh that dang ban dat hon) -> BO QUA
